"seller_id","seller_city","seller_state","total_orders","total_items_sold","total_revenue","total_freight","total_gross_revenue","avg_item_price","avg_review_score","total_reviews","positive_review_pct"
"1fe5540d7c1c37a595fefbacd5570d9e","paraiba do sul","RJ","20","3","4537.60","581.15","5118.75","181.50","4.28","20","105.00"
"fc906263ca5083d09dce42fe02247800","belo horizonte","MG","114","2","4537.60","1899.68","6437.28","37.81","4.36","115","91.30"
"37dd29b36c458d82f74a953c40c43645","limeira","SP","7","2","4536.99","479.44","5016.43","567.12","4.00","7","85.71"
"c840d3fdbba0790404fdae73d253b253","curitiba","PR","9","2","4522.28","359.65","4881.93","323.02","3.93","9","100.00"
"180c3376aff0e43dd5788709df48a843","sao paulo","SP","5","6","4513.00","209.97","4722.97","451.30","4.70","5","180.00"
"6288c69c4ce638e59925e59193f98b16","santo andre","SP","22","1","4506.28","306.20","4812.48","204.83","3.95","22","77.27"
"b561927807645834b59ef0d16ba55a24","sao paulo","SP","85","3","4501.99","1305.04","5807.03","47.39","4.34","85","98.82"
"55d3daac7c404d59e51c2aa2f4dc5a23","sao paulo","SP","21","3","4480.60","1309.88","5790.48","160.02","3.93","21","95.24"
"2ff97219cb8622eaf3cd89b7d9c09824","salto","SP","89","3","4476.90","1389.13","5866.03","46.63","4.54","89","98.88"
"e81e1f9c3e762e620f3fb60a51499e16","curitibanos","SC","17","2","4465.99","513.50","4979.49","248.11","3.82","16","68.75"
"4d600e08ecbe08258c79e536c5a42fee","entre rios do oeste","PR","8","1","4465.34","168.12","4633.46","558.17","4.00","8","75.00"
"bbad7e518d7af88a0897397ffdca1979","sao paulo","SP","69","6","4462.22","1338.20","5800.42","52.50","3.04","68","61.76"
"8bd0f31cf0a614c658f6763bd02dea69","sao paulo","SP","33","2","4455.34","967.98","5423.32","127.30","4.21","32","81.25"
"b90e891671cffd9557f33a97dc523645","sao jose dos pinhais","PR","34","2","4449.00","632.31","5081.31","114.08","4.13","34","85.29"
"2e3be8a987a30d7544dbbda6861cc14e","belo horizonte","MG","18","2","4430.84","346.71","4777.55","233.20","3.05","18","55.56"
"d379f449f2a3b271bc01c0782020f705","divinopolis","MG","28","2","4423.06","1076.74","5499.80","152.52","3.93","28","75.00"
"f021c962aaba8ef6eb527a9c2c8394d1","itajai","SC","5","1","4398.50","135.37","4533.87","879.70","4.20","5","80.00"
"beadbee30901a7f61d031b6b686095ad","guarulhos","SP","64","3","4373.98","937.54","5311.52","64.32","3.94","64","78.13"
"15aac934c58d886785ac1b17953ea898","muqui","ES","25","2","4353.90","665.70","5019.60","167.46","4.12","25","84.00"
"eed78ac17f7f795a19a709745f00cd4e","botucatu","SP","22","7","4349.50","846.34","5195.84","77.67","3.41","22","140.91"
"a3f0b55de503387383c7b1de3ad7f678","curitiba","PR","24","2","4348.40","1229.34","5577.74","167.25","4.38","24","87.50"
"c500367424994318b9e779ff1ae9a330","paulinia","SP","9","1","4346.40","311.99","4658.39","482.93","3.78","9","66.67"
"65febd49fd28ec955651299159b1f527","sao paulo","SP","35","2","4319.70","981.44","5301.14","107.99","4.23","35","88.57"
"23613d49c3ac2bd302259e55c06c050c","porto ferreira","SP","70","4","4293.00","2167.76","6460.76","53.66","3.66","69","72.46"
"9803a40e82e45418ab7fb84091af5231","rio verde","GO","11","6","4278.75","512.63","4791.38","237.71","3.11","11","90.91"
"282c7480173bb9c01dd41cc739fec010","sao paulo","SP","5","4","4274.20","192.11","4466.31","534.28","4.43","4","150.00"
"cc5a78bbad32776dc4e3af205218368c","divinopolis","MG","33","5","4269.18","1304.17","5573.35","112.35","4.47","33","100.00"
"cac4c8e7b1ca6252d8f20b2fc1a2e4af","indaiatuba","SP","75","4","4268.17","1571.31","5839.48","50.81","3.52","75","68.00"
